Item,GSSlabel,label
WLTHHSPS,Rich - poor,
WLTHWHTS,Rich - poor,
WORDA,Word a,
WORDB,Word b,
WORDC,Word c,
WORDD,Word d,
WORDE,Word e,
WORDF,Word f,
WORDG,Word g,
WORDH,Word h,
WORDI,Word i,
WORDJ,Word j,
WORDSUM,Number words correct in vocabulary test,
WORKBLKS,Hard working - lazy,
WORKDIFF,R does numerous things on job,
WORKFAST,Job requires R to work fast,
WORKFOR1,R work for whom,
WORKHARD,To work hard,
WORKHSPS,Hard working -lazy,
WORKWHTS,Hard working - lazy,
WRKGOVT,Govt or private employee,"{response to arewere} you employed by the federal, state, or local government or by a private employer (including non-profit organizations)?"
WRKHOME,How often R works at home,
WRKSCHED,Usual work schedule,
WRKSLF,R self-emp or works for somebody,
WRKSLFFAM,DOES R WORK IN FAMILY BUSINESS OR FARM,"For this job, {response to wrkslffamfill} you work in your own family business or farm?"
WRKSTAT,Labor force status,"Last week were you working full time, part time, going to school, keeping house, or what?Please provide one response only. If you were doing more than one of these last week, select the one closest to the top of the list."
WRKTIME,R has enough time to get the job done,
WRKTYPE,Work arrangement at main job,
WRKWAYUP,Blacks overcome prejudice without favors,"Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with the following statement: Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors."
WTSS,Weight variable,
WTSSALL,Weight variable,
WTSSNR,Weight variable,
WWWHR,Www hours per week,
WWWMIN,Www minutes per week,
XMARSEX,Sex with person other than spouse,"What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
XMARSEX1,Is extramarital sex wrong?,
XMOVIE,Seen x-rated movie in last year,
XNORCSIZ,Expanded NORC size code,
YEAR,GSS year for this respondent,
YEARSJOB,Time at current job,
YEARSUSA,"LIVED IN U.S., YEARS:",
YEARVAL,Total dollar value of payments in that year,
YOUSUP,How many people do you supervise directly,How many people do you supervise directly?
ZODIAC,Respondents astrological sign,
